Index,Cancer,Drug,Gene,Raw P value,Link
1,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,DEFB115,6.11E-12,LINK
2,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,DEFB116,6.11E-12,LINK
3,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,RNA5SP480,6.11E-12,LINK
4,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,DEFB118,6.11E-12,LINK
5,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,DEFB119,6.11E-12,LINK
6,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,SNORA40|ENSG00000212134.1,6.11E-12,LINK
7,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,DEFB121,6.11E-12,LINK
8,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,DEFB122,6.11E-12,LINK
9,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,DEFB123,6.11E-12,LINK
10,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,DEFB124,6.11E-12,LINK
11,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,REM1,6.11E-12,LINK
12,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,LINC00028,6.11E-12,LINK
13,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,HM13,6.11E-12,LINK
14,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,ID1,6.11E-12,LINK
15,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,MIR3193,6.11E-12,LINK
16,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,COX4I2,6.11E-12,LINK
17,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,BCL2L1,6.11E-12,LINK
18,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,TPX2,6.11E-12,LINK
19,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,MYLK2,6.11E-12,LINK
20,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,FOXS1,6.11E-12,LINK
21,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,DUSP15,6.11E-12,LINK
22,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,TTLL9,6.11E-12,LINK
23,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,PDRG1,6.11E-12,LINK
24,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,XKR7,6.11E-12,LINK
25,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,RNA5SP481,6.11E-12,LINK
26,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,CCM2L,6.11E-12,LINK
27,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,HCK,6.11E-12,LINK
28,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,RNA5SP482,6.11E-12,LINK
29,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,TM9SF4,6.11E-12,LINK
30,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,TSPY26P,6.11E-12,LINK
31,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,PLAGL2,6.11E-12,LINK
32,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,POFUT1,6.11E-12,LINK
33,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,MIR1825,6.11E-12,LINK
34,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,KIF3B,6.11E-12,LINK
35,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,ASXL1,6.11E-12,LINK
36,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,C20orf112,6.11E-12,LINK
37,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,BPIFA3,6.11E-12,LINK
38,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,BPIFA1,6.11E-12,LINK
39,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,BPIFB1,6.11E-12,LINK
40,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,CDK5RAP1,6.11E-12,LINK
41,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,SNTA1,6.11E-12,LINK
42,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,RN7SL511P,6.11E-12,LINK
43,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,CBFA2T2,6.11E-12,LINK
44,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,NECAB3,6.11E-12,LINK
45,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,C20orf144,6.11E-12,LINK
46,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,ACTL10,6.11E-12,LINK
47,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,E2F1,6.11E-12,LINK
48,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,PXMP4,6.11E-12,LINK
49,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,ZNF341,6.11E-12,LINK
50,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,CHMP4B,6.11E-12,LINK
51,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,RALY,6.11E-12,LINK
