Index,Cancer,Drug,Gene,Raw P value,Link
1,Stomach adenocarcinoma (STAD),Fluorouracil,RIPPLY3,1.27E-08,LINK
2,Stomach adenocarcinoma (STAD),Fluorouracil,PIGP,1.27E-08,LINK
3,Stomach adenocarcinoma (STAD),Fluorouracil,HLCS,2.27E-07,LINK
4,Pancreatic adenocarcinoma (PAAD),Fluorouracil,STMN2,3.51E-07,LINK
5,Pancreatic adenocarcinoma (PAAD),Fluorouracil,HEY1,3.51E-07,LINK
6,Pancreatic adenocarcinoma (PAAD),Fluorouracil,MRPS28,3.51E-07,LINK
7,Pancreatic adenocarcinoma (PAAD),Fluorouracil,TPD52,3.51E-07,LINK
8,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RN7SL41P,3.51E-07,LINK
9,Pancreatic adenocarcinoma (PAAD),Fluorouracil,MIR5708,3.51E-07,LINK
10,Pancreatic adenocarcinoma (PAAD),Fluorouracil,SNORA20|ENSG00000206649.1,3.51E-07,LINK
11,Pancreatic adenocarcinoma (PAAD),Fluorouracil,THEG5,4.26E-07,LINK
12,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RNA5SP471,4.26E-07,LINK
13,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RNA5SP472,4.26E-07,LINK
14,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF507,4.26E-07,LINK
15,Pancreatic adenocarcinoma (PAAD),Fluorouracil,DPY19L3,4.26E-07,LINK
16,Pancreatic adenocarcinoma (PAAD),Fluorouracil,PDCD5,4.26E-07,LINK
17,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ANKRD27,4.26E-07,LINK
18,Pancreatic adenocarcinoma (PAAD),Fluorouracil,SNORA68|ENSG00000201388.1,4.26E-07,LINK
19,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RN7SL789P,4.26E-07,LINK
20,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RGS9BP,4.26E-07,LINK
21,Pancreatic adenocarcinoma (PAAD),Fluorouracil,NUDT19,4.26E-07,LINK
22,Pancreatic adenocarcinoma (PAAD),Fluorouracil,TDRD12,4.26E-07,LINK
23,Pancreatic adenocarcinoma (PAAD),Fluorouracil,SLC7A9,4.26E-07,LINK
24,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RN7SKP22,4.26E-07,LINK
25,Pancreatic adenocarcinoma (PAAD),Fluorouracil,CEP89,4.26E-07,LINK
26,Pancreatic adenocarcinoma (PAAD),Fluorouracil,C19orf40,4.26E-07,LINK
27,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RHPN2,4.26E-07,LINK
28,Pancreatic adenocarcinoma (PAAD),Fluorouracil,GPATCH1,4.26E-07,LINK
29,Pancreatic adenocarcinoma (PAAD),Fluorouracil,WDR88,4.26E-07,LINK
30,Pancreatic adenocarcinoma (PAAD),Fluorouracil,LRP3,4.26E-07,LINK
31,Pancreatic adenocarcinoma (PAAD),Fluorouracil,SLC7A10,4.26E-07,LINK
32,Pancreatic adenocarcinoma (PAAD),Fluorouracil,CEBPA,4.26E-07,LINK
33,Pancreatic adenocarcinoma (PAAD),Fluorouracil,CEBPG,4.26E-07,LINK
34,Pancreatic adenocarcinoma (PAAD),Fluorouracil,PEPD,4.26E-07,LINK
35,Pancreatic adenocarcinoma (PAAD),Fluorouracil,CHST8,4.26E-07,LINK
36,Pancreatic adenocarcinoma (PAAD),Fluorouracil,KCTD15,4.26E-07,LINK
37,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RN7SL150P,4.26E-07,LINK
38,Pancreatic adenocarcinoma (PAAD),Fluorouracil,LSM14A,4.26E-07,LINK
39,Pancreatic adenocarcinoma (PAAD),Fluorouracil,KIAA0355,4.26E-07,LINK
40,Pancreatic adenocarcinoma (PAAD),Fluorouracil,GPI,4.26E-07,LINK
41,Pancreatic adenocarcinoma (PAAD),Fluorouracil,PDCD2L,4.26E-07,LINK
42,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RN7SL154P,4.26E-07,LINK
43,Pancreatic adenocarcinoma (PAAD),Fluorouracil,UBA2,4.26E-07,LINK
44,Pancreatic adenocarcinoma (PAAD),Fluorouracil,WTIP,4.26E-07,LINK
45,Pancreatic adenocarcinoma (PAAD),Fluorouracil,SCGB1B2P,4.26E-07,LINK
46,Pancreatic adenocarcinoma (PAAD),Fluorouracil,SCGB2B2,4.26E-07,LINK
47,Pancreatic adenocarcinoma (PAAD),Fluorouracil,SNORD111|ENSG00000252230.1,4.26E-07,LINK
48,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF302,4.26E-07,LINK
49,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF181,4.26E-07,LINK
50,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF599,4.26E-07,LINK
51,Pancreatic adenocarcinoma (PAAD),Fluorouracil,LINC00904,4.26E-07,LINK
52,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF30,4.26E-07,LINK
53,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZNF792,4.26E-07,LINK
54,Pancreatic adenocarcinoma (PAAD),Fluorouracil,GRAMD1A,4.26E-07,LINK
55,Pancreatic adenocarcinoma (PAAD),Fluorouracil,SCN1B,4.26E-07,LINK
56,Pancreatic adenocarcinoma (PAAD),Fluorouracil,HPN,4.26E-07,LINK
57,Pancreatic adenocarcinoma (PAAD),Fluorouracil,FXYD3,4.26E-07,LINK
58,Pancreatic adenocarcinoma (PAAD),Fluorouracil,LGI4,4.26E-07,LINK
59,Pancreatic adenocarcinoma (PAAD),Fluorouracil,FXYD1,4.26E-07,LINK
60,Pancreatic adenocarcinoma (PAAD),Fluorouracil,FXYD7,4.26E-07,LINK
61,Pancreatic adenocarcinoma (PAAD),Fluorouracil,FXYD5,4.26E-07,LINK
62,Pancreatic adenocarcinoma (PAAD),Fluorouracil,FAM187B,4.26E-07,LINK
63,Pancreatic adenocarcinoma (PAAD),Fluorouracil,LSR,4.26E-07,LINK
64,Pancreatic adenocarcinoma (PAAD),Fluorouracil,USF2,4.26E-07,LINK
65,Pancreatic adenocarcinoma (PAAD),Fluorouracil,HAMP,4.26E-07,LINK
66,Pancreatic adenocarcinoma (PAAD),Fluorouracil,MAG,4.26E-07,LINK
67,Pancreatic adenocarcinoma (PAAD),Fluorouracil,CD22,4.26E-07,LINK
68,Pancreatic adenocarcinoma (PAAD),Fluorouracil,MIR5196,4.26E-07,LINK
69,Pancreatic adenocarcinoma (PAAD),Fluorouracil,FFAR1,4.26E-07,LINK
70,Pancreatic adenocarcinoma (PAAD),Fluorouracil,FFAR3,4.26E-07,LINK
71,Pancreatic adenocarcinoma (PAAD),Fluorouracil,GPR42,4.26E-07,LINK
72,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RN7SL491P,4.26E-07,LINK
73,Pancreatic adenocarcinoma (PAAD),Fluorouracil,FFAR2,4.26E-07,LINK
74,Pancreatic adenocarcinoma (PAAD),Fluorouracil,KRTDAP,4.26E-07,LINK
75,Pancreatic adenocarcinoma (PAAD),Fluorouracil,DMKN,4.26E-07,LINK
76,Pancreatic adenocarcinoma (PAAD),Fluorouracil,SBSN,4.26E-07,LINK
77,Pancreatic adenocarcinoma (PAAD),Fluorouracil,GAPDHS,4.26E-07,LINK
78,Pancreatic adenocarcinoma (PAAD),Fluorouracil,TMEM147,4.26E-07,LINK
79,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ATP4A,4.26E-07,LINK
80,Pancreatic adenocarcinoma (PAAD),Fluorouracil,HAUS5,4.26E-07,LINK
81,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RBM42,4.26E-07,LINK
82,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ETV2,4.26E-07,LINK
83,Pancreatic adenocarcinoma (PAAD),Fluorouracil,COX6B1,4.26E-07,LINK
84,Pancreatic adenocarcinoma (PAAD),Fluorouracil,RN7SL765P,4.26E-07,LINK
85,Pancreatic adenocarcinoma (PAAD),Fluorouracil,UPK1A,4.26E-07,LINK
86,Pancreatic adenocarcinoma (PAAD),Fluorouracil,ZBTB32,4.26E-07,LINK
87,Pancreatic adenocarcinoma (PAAD),Fluorouracil,KMT2B,4.26E-07,LINK
88,Pancreatic adenocarcinoma (PAAD),Fluorouracil,WBP7,4.26E-07,LINK
89,Pancreatic adenocarcinoma (PAAD),Fluorouracil,IGFLR1,4.26E-07,LINK
90,Pancreatic adenocarcinoma (PAAD),Fluorouracil,LIN37,4.26E-07,LINK
