Index,Cancer,Drug,Gene,Raw P value,Link
1,Brain Lower Grade Glioma (LGG),Temozolomide,CACNB2,0,LINK
2,Brain Lower Grade Glioma (LGG),Temozolomide,NSUN6,0,LINK
3,Brain Lower Grade Glioma (LGG),Temozolomide,ARL5B,0,LINK
4,Brain Lower Grade Glioma (LGG),Temozolomide,C10orf112,0,LINK
5,Brain Lower Grade Glioma (LGG),Temozolomide,U3|ENSG00000200545.1,0,LINK
6,Brain Lower Grade Glioma (LGG),Temozolomide,RNA5SP303,0,LINK
7,Brain Lower Grade Glioma (LGG),Temozolomide,PLXDC2,0,LINK
8,Brain Lower Grade Glioma (LGG),Temozolomide,MIR4675,0,LINK
9,Brain Lower Grade Glioma (LGG),Temozolomide,NEBL,0,LINK
10,Brain Lower Grade Glioma (LGG),Temozolomide,C10orf113,0,LINK
11,Brain Lower Grade Glioma (LGG),Temozolomide,U3|ENSG00000251749.1,0,LINK
12,Brain Lower Grade Glioma (LGG),Temozolomide,CASC10,0,LINK
13,Brain Lower Grade Glioma (LGG),Temozolomide,MIR1915,0,LINK
14,Brain Lower Grade Glioma (LGG),Temozolomide,SKIDA1,0,LINK
15,Brain Lower Grade Glioma (LGG),Temozolomide,MLLT10,0,LINK
16,Brain Lower Grade Glioma (LGG),Temozolomide,DNAJC1,0,LINK
17,Brain Lower Grade Glioma (LGG),Temozolomide,RN7SKP37,0,LINK
18,Brain Lower Grade Glioma (LGG),Temozolomide,EBLN1,0,LINK
19,Brain Lower Grade Glioma (LGG),Temozolomide,BMI1,0,LINK
20,Brain Lower Grade Glioma (LGG),Temozolomide,COMMD3,0,LINK
21,Brain Lower Grade Glioma (LGG),Temozolomide,SPAG6,0,LINK
22,Brain Lower Grade Glioma (LGG),Temozolomide,PIP4K2A,0,LINK
23,Brain Lower Grade Glioma (LGG),Temozolomide,ARMC3,0,LINK
24,Brain Lower Grade Glioma (LGG),Temozolomide,RNA5SP304,0,LINK
25,Brain Lower Grade Glioma (LGG),Temozolomide,MSRB2,0,LINK
26,Brain Lower Grade Glioma (LGG),Temozolomide,SNORA40|ENSG00000252049.1,0,LINK
27,Brain Lower Grade Glioma (LGG),Temozolomide,PTF1A,0,LINK
28,Brain Lower Grade Glioma (LGG),Temozolomide,C10orf115,0,LINK
29,Brain Lower Grade Glioma (LGG),Temozolomide,C10orf67,0,LINK
30,Brain Lower Grade Glioma (LGG),Temozolomide,snoU13|ENSG00000238515.1,0,LINK
31,Brain Lower Grade Glioma (LGG),Temozolomide,OTUD1,0,LINK
32,Brain Lower Grade Glioma (LGG),Temozolomide,KIAA1217,0,LINK
33,Brain Lower Grade Glioma (LGG),Temozolomide,MIR603,0,LINK
34,Brain Lower Grade Glioma (LGG),Temozolomide,ARHGAP21,0,LINK
