Index,Cancer,Drug,Gene,Raw P value,Link
1,Sarcoma (SARC),Gemcitabine,MGEA5,7.25E-09,LINK
2,Sarcoma (SARC),Gemcitabine,KCNIP2,7.25E-09,LINK
3,Sarcoma (SARC),Gemcitabine,C10orf76,7.25E-09,LINK
4,Sarcoma (SARC),Gemcitabine,PANK1,8.10E-09,LINK
5,Sarcoma (SARC),Gemcitabine,KIF20B,8.10E-09,LINK
6,Sarcoma (SARC),Gemcitabine,LINC00865,8.10E-09,LINK
7,Sarcoma (SARC),Gemcitabine,ZNF518A,8.10E-09,LINK
8,Sarcoma (SARC),Gemcitabine,BLNK,8.10E-09,LINK
9,Sarcoma (SARC),Gemcitabine,DNTT,8.10E-09,LINK
10,Sarcoma (SARC),Gemcitabine,OPALIN,8.10E-09,LINK
11,Sarcoma (SARC),Gemcitabine,TLL2,8.10E-09,LINK
12,Sarcoma (SARC),Gemcitabine,ANKRD20A1,2.80E-08,LINK
13,Sarcoma (SARC),Gemcitabine,ANKRD20A2,2.80E-08,LINK
14,Sarcoma (SARC),Gemcitabine,ANKRD20A3,2.80E-08,LINK
15,Sarcoma (SARC),Gemcitabine,ANKRD20A4,2.80E-08,LINK
16,Sarcoma (SARC),Gemcitabine,CBWD3,2.80E-08,LINK
17,Sarcoma (SARC),Gemcitabine,CBWD5,2.80E-08,LINK
18,Sarcoma (SARC),Gemcitabine,CBWD6,2.80E-08,LINK
19,Sarcoma (SARC),Gemcitabine,CBWD7,2.80E-08,LINK
20,Sarcoma (SARC),Gemcitabine,CNTNAP3B,2.80E-08,LINK
21,Sarcoma (SARC),Gemcitabine,CNTNAP3,2.80E-08,LINK
22,Sarcoma (SARC),Gemcitabine,FAM27A,2.80E-08,LINK
23,Sarcoma (SARC),Gemcitabine,FAM27B,2.80E-08,LINK
24,Sarcoma (SARC),Gemcitabine,FAM27C,2.80E-08,LINK
25,Sarcoma (SARC),Gemcitabine,FAM27D1,2.80E-08,LINK
26,Sarcoma (SARC),Gemcitabine,FAM27E1,2.80E-08,LINK
27,Sarcoma (SARC),Gemcitabine,FAM27E2,2.80E-08,LINK
28,Sarcoma (SARC),Gemcitabine,FAM27E3,2.80E-08,LINK
29,Sarcoma (SARC),Gemcitabine,FAM74A1,2.80E-08,LINK
30,Sarcoma (SARC),Gemcitabine,FAM74A2,2.80E-08,LINK
31,Sarcoma (SARC),Gemcitabine,FAM74A3,2.80E-08,LINK
32,Sarcoma (SARC),Gemcitabine,FAM74A4,2.80E-08,LINK
33,Sarcoma (SARC),Gemcitabine,FAM74A5,2.80E-08,LINK
34,Sarcoma (SARC),Gemcitabine,FAM74A6,2.80E-08,LINK
35,Sarcoma (SARC),Gemcitabine,FAM95B1,2.80E-08,LINK
36,Sarcoma (SARC),Gemcitabine,FOXD4L2,2.80E-08,LINK
37,Sarcoma (SARC),Gemcitabine,FOXD4L3,2.80E-08,LINK
38,Sarcoma (SARC),Gemcitabine,FOXD4L4,2.80E-08,LINK
39,Sarcoma (SARC),Gemcitabine,FOXD4L5,2.80E-08,LINK
40,Sarcoma (SARC),Gemcitabine,FOXD4L6,2.80E-08,LINK
41,Sarcoma (SARC),Gemcitabine,MIR1299,2.80E-08,LINK
42,Sarcoma (SARC),Gemcitabine,MIR4477A,2.80E-08,LINK
43,Sarcoma (SARC),Gemcitabine,PGM5P2,2.80E-08,LINK
44,Sarcoma (SARC),Gemcitabine,PGM5,2.80E-08,LINK
45,Sarcoma (SARC),Gemcitabine,RN7SL343P,2.80E-08,LINK
46,Sarcoma (SARC),Gemcitabine,RN7SL422P,2.80E-08,LINK
47,Sarcoma (SARC),Gemcitabine,RN7SL462P,2.80E-08,LINK
48,Sarcoma (SARC),Gemcitabine,RN7SL544P,2.80E-08,LINK
49,Sarcoma (SARC),Gemcitabine,RN7SL565P,2.80E-08,LINK
50,Sarcoma (SARC),Gemcitabine,RN7SL640P,2.80E-08,LINK
51,Sarcoma (SARC),Gemcitabine,RN7SL722P,2.80E-08,LINK
52,Sarcoma (SARC),Gemcitabine,RN7SL763P,2.80E-08,LINK
53,Sarcoma (SARC),Gemcitabine,RN7SL787P,2.80E-08,LINK
54,Sarcoma (SARC),Gemcitabine,RNA5SP283,2.80E-08,LINK
55,Sarcoma (SARC),Gemcitabine,RNA5SP284,2.80E-08,LINK
56,Sarcoma (SARC),Gemcitabine,SNORA70|ENSG00000252133.1,2.80E-08,LINK
57,Sarcoma (SARC),Gemcitabine,SNORA70|ENSG00000252617.1,2.80E-08,LINK
58,Sarcoma (SARC),Gemcitabine,SNORA70|ENSG00000252724.1,2.80E-08,LINK
59,Sarcoma (SARC),Gemcitabine,SNORA70|ENSG00000252878.1,2.80E-08,LINK
60,Sarcoma (SARC),Gemcitabine,SPATA31A1,2.80E-08,LINK
61,Sarcoma (SARC),Gemcitabine,SPATA31A2,2.80E-08,LINK
62,Sarcoma (SARC),Gemcitabine,SPATA31A3,2.80E-08,LINK
63,Sarcoma (SARC),Gemcitabine,SPATA31A4,2.80E-08,LINK
64,Sarcoma (SARC),Gemcitabine,SPATA31A5,2.80E-08,LINK
65,Sarcoma (SARC),Gemcitabine,SPATA31A6,2.80E-08,LINK
66,Sarcoma (SARC),Gemcitabine,SPATA31A7,2.80E-08,LINK
67,Sarcoma (SARC),Gemcitabine,ZNF658,2.80E-08,LINK
68,Sarcoma (SARC),Gemcitabine,KLHL13,5.52E-08,LINK
69,Sarcoma (SARC),Gemcitabine,WDR44,5.52E-08,LINK
70,Sarcoma (SARC),Gemcitabine,MIR1277,5.52E-08,LINK
71,Sarcoma (SARC),Gemcitabine,DOCK11,5.52E-08,LINK
72,Sarcoma (SARC),Gemcitabine,IL13RA1,5.52E-08,LINK
73,Sarcoma (SARC),Gemcitabine,SNORA35|ENSG00000239182.1,5.52E-08,LINK
74,Sarcoma (SARC),Gemcitabine,KLF9,1.06E-07,LINK
75,Sarcoma (SARC),Gemcitabine,MIR204,1.06E-07,LINK
76,Sarcoma (SARC),Gemcitabine,TMEM2,1.06E-07,LINK
77,Sarcoma (SARC),Gemcitabine,ABHD17B,1.06E-07,LINK
78,Sarcoma (SARC),Gemcitabine,C9orf85,1.06E-07,LINK
79,Sarcoma (SARC),Gemcitabine,C9orf57,1.06E-07,LINK
80,Sarcoma (SARC),Gemcitabine,APBA1,1.09E-07,LINK
81,Sarcoma (SARC),Gemcitabine,PTAR1,1.09E-07,LINK
82,Sarcoma (SARC),Gemcitabine,C9orf135,1.09E-07,LINK
83,Sarcoma (SARC),Gemcitabine,RN7SL570P,1.09E-07,LINK
84,Sarcoma (SARC),Gemcitabine,MAMDC2,1.09E-07,LINK
85,Sarcoma (SARC),Gemcitabine,SMC5,1.09E-07,LINK
86,Sarcoma (SARC),Gemcitabine,TRPM3,1.09E-07,LINK
87,Sarcoma (SARC),Gemcitabine,NAA35,1.12E-07,LINK
88,Sarcoma (SARC),Gemcitabine,GOLM1,1.12E-07,LINK
89,Sarcoma (SARC),Gemcitabine,C9orf153,1.12E-07,LINK
90,Sarcoma (SARC),Gemcitabine,RN7SKP264,1.12E-07,LINK
91,Sarcoma (SARC),Gemcitabine,ISCA1,1.12E-07,LINK
92,Sarcoma (SARC),Gemcitabine,ZCCHC6,1.12E-07,LINK
93,Sarcoma (SARC),Gemcitabine,GDA,1.22E-07,LINK
94,Sarcoma (SARC),Gemcitabine,RNA5SP285,1.22E-07,LINK
95,Sarcoma (SARC),Gemcitabine,ZFAND5,1.22E-07,LINK
96,Sarcoma (SARC),Gemcitabine,TMC1,1.22E-07,LINK
97,Sarcoma (SARC),Gemcitabine,snoU13|ENSG00000238402.1,1.22E-07,LINK
98,Sarcoma (SARC),Gemcitabine,ALDH1A1,1.22E-07,LINK
99,Sarcoma (SARC),Gemcitabine,ANXA1,1.22E-07,LINK
100,Sarcoma (SARC),Gemcitabine,TLE1,1.24E-07,LINK
101,Sarcoma (SARC),Gemcitabine,RNA5SP287,1.24E-07,LINK
102,Sarcoma (SARC),Gemcitabine,SNORD95|ENSG00000200969.1,1.24E-07,LINK
103,Sarcoma (SARC),Gemcitabine,SPATA31D5P,1.24E-07,LINK
104,Sarcoma (SARC),Gemcitabine,SPATA31D4,1.24E-07,LINK
